Date,Type,Category,Amount,Comment
05-04-2025,Expense,Food,67.0,
05-04-2025,Expense,Travel,45.0,spent
05-04-2025,Expense,Bills,67.0,paid bill
04-04-2025,Expense,Bills,67.0,paid
04-04-2025,Expense,Travel,67.0,spent for travelling
05-04-2025,Expense,Travel,67.0,spent for travel
05-04-2025,Expense,Bills,76.0,paid Bills
05-04-2025,Expense,Food,56.0,spent
05-04-2025,Expense,Bills,56.0,de
05-04-2025,Expense,Travel,67.0,none
05-04-2025,Expense,Food,56.0,for
05-04-2025,Expense,Bills,45.0,bill
05-04-2025,Expense,Food,45.0,none
9-04-2025,Expense,Bills,67.0,none
8-04-2025,Expense,Travel,56.0,none
05-04-2025,Expense,Travel,67.0,none
07-07-2025,Expense,Food,56.0,none
07-04-2025,Expense,Travel,67.0,no
09-04-2025,Expense,Food,100.0,went to restaurant
09-04-2025,Expense,Food,70.0,went to restaurant
09-04-2025,Expense,Food,70.0,went to restaurant
